line,direction,stop,bus,datetime,estimateArrive
73,2026-08-17T18:18:36.475743,1517,LTZ1517,Oxford Circus,490002121ZT,39,195
24,2026-08-17T18:18:36.475743,1156,LTZ1156,Pimlico,490014504S,41,205
73,2026-08-17T18:18:36.475743,1833,LTZ1833,"Stoke Newington, Common",490001172K,58,290
73,2026-08-17T18:18:36.475743,1209,LTZ1209,Oxford Circus,490010326S,69,345
24,2026-08-17T18:18:36.475743,1628,LTZ1628,Pimlico,490003384SB,82,410
73,2026-08-17T18:18:36.475743,1491,LTZ1491,"Stoke Newington, Common",490010689OJ,83,415
24,2026-08-17T18:18:36.475743,1684,LTZ1684,Hampstead Heath,490008376N,92,460
73,2026-08-17T18:18:36.475743,1743,LTZ1743,"Stoke Newington, Common",490000089A,97,485
73,2026-08-17T18:18:36.475743,1526,LTZ1526,"Stoke Newington, Common",490005432S1,100,500
73,2026-08-17T18:18:36.475743,1538,LTZ1538,"Stoke Newington, Common",490000129E,108,540
24,2026-08-17T18:18:36.475743,1166,LTZ1166,Pimlico,490012280A,121,605
