id,name,lat,lon,line,direction
490003569N1,Newington Green Road / Balls Pond Road,51.54704,-0.08691,73,1
490003915N,Beresford Road,51.54966,-0.08716,73,1
490015396NK,Newington Green,51.55169,-0.08572,73,1
490005432S1,Clissold Crescent,51.5565,-0.08409,73,1
490003591N,Barbauld Road,51.55836,-0.08247,73,1
490003003N,Stoke Newington Town Hall,51.56062,-0.0835,73,1
490004202E,Abney Park,51.56226,-0.07828,73,1
490014699W,William Patten School,51.56208,-0.07458,73,1
490005312N,Stoke Newington High St / Garnham Street,51.56233,-0.07369,73,1
490010427D,Northwold Road / Stoke Newington Common,51.56297,-0.07187,73,1
490012837J,Stoke Newington Common,51.56205,-0.06855,73,1
490012837K,Stoke Newington Common,51.56086,-0.07032,73,2
490004452U,Stoke Newington High Street,51.56065,-0.07344,73,2
490014699V,William Patten School,51.56205,-0.07547,73,2
490004202W,Abney Park,51.56218,-0.07801,73,2
490012840W2,Stoke Newington Town Hall,51.56118,-0.08293,73,2
490004808S,Barbauld Road,51.55893,-0.08243,73,2
490005432S2,Clissold Crescent,51.55637,-0.08394,73,2
490019676NB,Green Lanes,51.55248,-0.08518,73,2
490015396S,Newington Green,51.55164,-0.08453,73,2
490003915S,Beresford Road,51.5498,-0.0869,73,2
490003569S2,Balls Pond Road,51.54721,-0.08663,73,2
490009688S,Essex Road / Marquess Road,51.54558,-0.08768,73,2
490010326S,Northchurch Road,51.54351,-0.09052,73,2
490001103S1,Essex Road Station,51.5409,-0.09529,73,2
490005816E,Cross Street,51.53821,-0.09938,73,2
490010709S,Packington Street,51.53684,-0.10108,73,2
490008515D,Islington Green,51.53576,-0.10317,73,2
490000007F,Angel Station,51.53374,-0.10546,73,2
490000007R,Pentonville Road / Baron Street,51.53178,-0.10776,73,2
490010928W,Penton Street / Chapel Market,51.53164,-0.11044,73,2
490005904W,Penton Rise,51.53121,-0.11531,73,2
490001172X,King's Cross / Caledonian Road,51.53084,-0.12052,73,2
490000129R,King's Cross Station,51.53047,-0.12169,73,2
490004722A,St Pancras International Station,51.52946,-0.12499,73,2
490009498W,British Library,51.52818,-0.12824,73,2
490000235YB,Tottenham Court Road Station,51.51609,-0.13407,73,2
490010689KB,Great Titchfield St / Oxford Circus Stn,51.51547,-0.13992,73,2
